KNN               precision    recall  f1-score   support

           0       0.88      0.96      0.92       330
           1       0.91      0.98      0.94       316
           2       0.99      0.98      0.98       309
           3       0.98      0.93      0.95       350
           4       0.99      0.94      0.97       318
           5       0.98      0.97      0.98       343
           6       0.96      0.95      0.95       355
           7       0.98      0.98      0.98       331
           8       0.96      0.93      0.95       347
           9       0.98      0.93      0.96       350
           ກ       0.87      0.94      0.90       342
           ຂ       0.90      0.93      0.92       331
           ຄ       0.69      0.76      0.73       341
           ງ       0.93      0.93      0.93       310
           ຈ       0.93      0.94      0.93       336
           ສ       0.94      0.83      0.89       366
           ຊ       0.96      0.89      0.92       331
           ຍ       0.74      0.85      0.79       332
           ດ       0.61      0.74      0.67       329
           ຕ       0.86      0.78      0.82       317
           ຖ       0.97      0.90      0.94       343
           ທ       0.68      0.84      0.75       371
           ນ       0.82      0.81      0.82       339
           ບ       0.63      0.79      0.70       317
           ປ       0.86      0.75      0.80       332
           ຜ       0.83      0.86      0.85       323
           ຝ       0.86      0.84      0.85       317
           ພ       0.75      0.75      0.75       357
           ຟ       0.86      0.74      0.79       344
           ມ       0.93      0.89      0.91       332
           ຢ       0.92      0.78      0.85       352
           ລ       0.81      0.83      0.82       325
           ວ       0.79      0.92      0.85       334
           ຫ       0.77      0.73      0.75       345
           ອ       0.86      0.80      0.83       348
           ຮ       0.83      0.79      0.81       336
           ໜ       0.75      0.80      0.77       347
           ໝ       0.75      0.69      0.72       300
           ຣ       0.82      0.77      0.80       353
           ະ       0.98      0.98      0.98       341
           ັ       0.91      0.93      0.92       349
           າ       0.92      0.95      0.93       317
           ິ       0.67      0.82      0.74       323
           ີ       0.71      0.76      0.73       322
           ຶ       0.80      0.75      0.78       343
           ື       0.82      0.66      0.73       334
           ຸ       0.91      0.96      0.94       342
           ູ       0.97      0.92      0.95       339
           ົ       0.97      0.96      0.96       323
          ຫຼ       0.96      0.90      0.93       336
           ຽ       0.99      0.96      0.98       340
           ເ       0.96      0.99      0.98       324
           ແ       1.00      0.96      0.98       343
           ໂ       0.95      0.88      0.91       317
           ໃ       0.89      0.92      0.90       300
           ໄ       0.94      0.91      0.93       360
           ໆ       0.95      0.97      0.96       342
           ່       0.84      0.96      0.89       348
           ້       0.95      0.89      0.92       327
           ໊       0.97      0.87      0.92       344
           ໋       0.93      0.93      0.93       361
           ໌       0.96      0.86      0.91       341
           ໍ       0.87      0.96      0.91       353

    accuracy                           0.87     21168
   macro avg       0.88      0.87      0.87     21168
weighted avg       0.88      0.87      0.87     21168

