Linear Regession               precision    recall  f1-score   support

           0       0.92      0.88      0.90       330
           1       0.88      0.94      0.91       316
           2       0.97      0.95      0.96       309
           3       0.95      0.93      0.94       350
           4       0.93      0.90      0.91       318
           5       0.93      0.96      0.94       343
           6       0.93      0.92      0.93       355
           7       0.97      0.93      0.95       331
           8       0.87      0.94      0.90       347
           9       0.95      0.90      0.93       350
           ກ       0.85      0.85      0.85       342
           ຂ       0.75      0.77      0.76       331
           ຄ       0.72      0.67      0.70       341
           ງ       0.83      0.81      0.82       310
           ຈ       0.72      0.77      0.75       336
           ສ       0.79      0.73      0.76       366
           ຊ       0.80      0.77      0.78       331
           ຍ       0.61      0.64      0.62       332
           ດ       0.63      0.66      0.64       329
           ຕ       0.64      0.71      0.67       317
           ຖ       0.82      0.83      0.82       343
           ທ       0.72      0.71      0.71       371
           ນ       0.74      0.65      0.69       339
           ບ       0.53      0.66      0.59       317
           ປ       0.74      0.73      0.73       332
           ຜ       0.61      0.63      0.62       323
           ຝ       0.66      0.68      0.67       317
           ພ       0.71      0.67      0.69       357
           ຟ       0.87      0.75      0.80       344
           ມ       0.72      0.77      0.75       332
           ຢ       0.80      0.75      0.77       352
           ລ       0.70      0.78      0.74       325
           ວ       0.68      0.72      0.70       334
           ຫ       0.79      0.72      0.75       345
           ອ       0.73      0.76      0.74       348
           ຮ       0.70      0.72      0.71       336
           ໜ       0.77      0.77      0.77       347
           ໝ       0.69      0.74      0.72       300
           ຣ       0.67      0.66      0.66       353
           ະ       0.80      0.84      0.82       341
           ັ       0.42      0.48      0.45       349
           າ       0.71      0.80      0.75       317
           ິ       0.44      0.38      0.41       323
           ີ       0.43      0.46      0.44       322
           ຶ       0.47      0.36      0.41       343
           ື       0.43      0.34      0.38       334
           ຸ       0.83      0.68      0.75       342
           ູ       0.78      0.83      0.80       339
           ົ       0.49      0.53      0.51       323
          ຫຼ       0.87      0.86      0.86       336
           ຽ       0.85      0.83      0.84       340
           ເ       0.83      0.90      0.86       324
           ແ       0.82      0.85      0.83       343
           ໂ       0.64      0.57      0.60       317
           ໃ       0.61      0.69      0.65       300
           ໄ       0.64      0.61      0.63       360
           ໆ       0.76      0.70      0.73       342
           ່       0.52      0.62      0.57       348
           ້       0.44      0.48      0.46       327
           ໊       0.54      0.51      0.53       344
           ໋       0.42      0.42      0.42       361
           ໌       0.39      0.33      0.36       341
           ໍ       0.64      0.61      0.62       353

    accuracy                           0.71     21168
   macro avg       0.71      0.71      0.71     21168
weighted avg       0.72      0.71      0.71     21168

