SVM_linear               precision    recall  f1-score   support

           0       0.99      0.99      0.99       330
           1       0.97      0.99      0.98       316
           2       0.98      0.99      0.99       309
           3       0.99      0.98      0.99       350
           4       0.99      0.99      0.99       318
           5       0.99      0.99      0.99       343
           6       0.99      0.99      0.99       355
           7       0.99      0.99      0.99       331
           8       0.99      0.99      0.99       347
           9       0.99      0.99      0.99       350
           ກ       0.95      0.98      0.96       342
           ຂ       0.96      0.96      0.96       331
           ຄ       0.91      0.91      0.91       341
           ງ       0.97      0.99      0.98       310
           ຈ       0.95      0.96      0.96       336
           ສ       0.99      0.97      0.98       366
           ຊ       0.95      0.98      0.96       331
           ຍ       0.91      0.94      0.93       332
           ດ       0.87      0.91      0.89       329
           ຕ       0.94      0.93      0.93       317
           ຖ       0.98      0.97      0.98       343
           ທ       0.91      0.92      0.92       371
           ນ       0.91      0.91      0.91       339
           ບ       0.89      0.91      0.90       317
           ປ       0.93      0.93      0.93       332
           ຜ       0.94      0.90      0.92       323
           ຝ       0.92      0.90      0.91       317
           ພ       0.93      0.92      0.93       357
           ຟ       0.95      0.95      0.95       344
           ມ       0.95      0.96      0.96       332
           ຢ       0.94      0.95      0.94       352
           ລ       0.92      0.94      0.93       325
           ວ       0.97      0.96      0.96       334
           ຫ       0.94      0.95      0.94       345
           ອ       0.96      0.96      0.96       348
           ຮ       0.93      0.93      0.93       336
           ໜ       0.92      0.94      0.93       347
           ໝ       0.92      0.92      0.92       300
           ຣ       0.94      0.89      0.91       353
           ະ       0.98      0.95      0.97       341
           ັ       0.65      0.75      0.70       349
           າ       0.98      0.94      0.96       317
           ິ       0.68      0.73      0.70       323
           ີ       0.72      0.78      0.75       322
           ຶ       0.70      0.68      0.69       343
           ື       0.77      0.69      0.72       334
           ຸ       0.87      0.89      0.88       342
           ູ       0.88      0.87      0.87       339
           ົ       0.81      0.76      0.78       323
          ຫຼ       0.99      1.00      0.99       336
           ຽ       0.99      0.99      0.99       340
           ເ       0.98      0.99      0.99       324
           ແ       0.99      0.98      0.98       343
           ໂ       0.88      0.89      0.88       317
           ໃ       0.88      0.86      0.87       300
           ໄ       0.90      0.88      0.89       360
           ໆ       0.95      0.97      0.96       342
           ່       0.71      0.79      0.75       348
           ້       0.66      0.76      0.71       327
           ໊       0.77      0.72      0.74       344
           ໋       0.75      0.68      0.72       361
           ໌       0.78      0.62      0.69       341
           ໍ       0.89      0.84      0.86       353

    accuracy                           0.91     21168
   macro avg       0.91      0.91      0.91     21168
weighted avg       0.91      0.91      0.91     21168

