SVM               precision    recall  f1-score   support

           0       0.91      0.92      0.92       330
           1       0.88      0.97      0.92       316
           2       0.99      0.96      0.97       309
           3       0.98      0.93      0.95       350
           4       0.98      0.93      0.95       318
           5       0.97      0.98      0.97       343
           6       0.97      0.95      0.96       355
           7       0.98      0.98      0.98       331
           8       0.96      0.94      0.95       347
           9       0.95      0.93      0.94       350
           ກ       0.92      0.90      0.91       342
           ຂ       0.80      0.88      0.84       331
           ຄ       0.82      0.70      0.75       341
           ງ       0.89      0.86      0.88       310
           ຈ       0.80      0.85      0.82       336
           ສ       0.82      0.85      0.83       366
           ຊ       0.91      0.81      0.86       331
           ຍ       0.74      0.72      0.73       332
           ດ       0.61      0.70      0.65       329
           ຕ       0.72      0.70      0.71       317
           ຖ       0.86      0.90      0.88       343
           ທ       0.76      0.78      0.77       371
           ນ       0.63      0.75      0.69       339
           ບ       0.63      0.67      0.65       317
           ປ       0.72      0.78      0.75       332
           ຜ       0.73      0.67      0.70       323
           ຝ       0.73      0.78      0.75       317
           ພ       0.70      0.77      0.74       357
           ຟ       0.89      0.76      0.82       344
           ມ       0.82      0.78      0.80       332
           ຢ       0.80      0.76      0.78       352
           ລ       0.77      0.85      0.81       325
           ວ       0.82      0.82      0.82       334
           ຫ       0.88      0.74      0.80       345
           ອ       0.80      0.81      0.81       348
           ຮ       0.68      0.81      0.74       336
           ໜ       0.77      0.86      0.81       347
           ໝ       0.83      0.71      0.76       300
           ຣ       0.78      0.64      0.70       353
           ະ       0.91      0.88      0.89       341
           ັ       0.42      0.85      0.57       349
           າ       0.82      0.85      0.84       317
           ິ       0.40      0.47      0.43       323
           ີ       0.54      0.25      0.34       322
           ຶ       0.43      0.33      0.37       343
           ື       0.41      0.34      0.37       334
           ຸ       0.78      0.80      0.79       342
           ູ       0.83      0.75      0.78       339
           ົ       0.67      0.41      0.51       323
          ຫຼ       0.90      0.98      0.94       336
           ຽ       0.94      0.94      0.94       340
           ເ       0.89      0.95      0.92       324
           ແ       0.86      0.88      0.87       343
           ໂ       0.74      0.46      0.57       317
           ໃ       0.62      0.64      0.63       300
           ໄ       0.63      0.77      0.69       360
           ໆ       0.84      0.82      0.83       342
           ່       0.48      0.74      0.58       348
           ້       0.41      0.32      0.36       327
           ໊       0.46      0.43      0.44       344
           ໋       0.45      0.26      0.33       361
           ໌       0.44      0.43      0.44       341
           ໍ       0.60      0.72      0.66       353

    accuracy                           0.75     21168
   macro avg       0.76      0.75      0.75     21168
weighted avg       0.76      0.75      0.75     21168
